CALLS,,PUTS
,"OI
","CHNG IN OI
","VOLUME
","IV
","LTP
","CHNG
","BID QTY
","BID
","ASK
","ASK QTY
","STRIKE
","BID QTY
","BID
","ASK
","ASK QTY
","CHNG
","LTP
","IV
","VOLUME
","CHNG IN OI
","OI
",
,173,-5,32,-,"1,829.30",-256.40,150,"1,803.65","1,827.65",150,"22,200.00",300,8.60,9.40,600,4.20,8.60,35.54,"1,89,305","5,170","8,959",
,16,-,-,-,"1,995.00",-,"1,725","1,513.85","1,977.75","1,725","22,250.00",225,9.00,9.70,"1,275",4.75,9.40,34.71,"1,24,679","1,701","2,831",
,198,-5,8,55.84,"1,860.00",-90.00,225,"1,678.40","1,772.90",75,"22,300.00",75,9.50,10.20,"1,725",5.60,10.40,34.37,"2,09,232","2,807","10,258",
,45,-3,6,-,"1,634.00",-373.90,75,"1,646.35","1,728.30",150,"22,350.00",900,10.05,10.75,975,5.50,10.75,33.38,"1,12,311","2,167","3,417",
,305,-10,100,-,"1,620.00",-250.55,75,"1,580.65","1,677.35",375,"22,400.00",150,10.80,11.35,"1,200",5.30,10.70,32.92,"2,03,871","5,699","10,182",
,124,-4,12,34.46,"1,636.00",-189.00,75,"1,510.45","1,627.85",150,"22,450.00","1,200",11.35,11.90,"1,725",5.45,11.35,32.40,"1,32,082","2,194","3,131",
,"2,170",-7,414,-,"1,515.00",-256.65,150,"1,510.45","1,577.05",150,"22,500.00","1,050",12.00,12.40,"1,350",6.20,12.30,31.99,"5,44,084","18,626","53,747",
,110,6,16,-,"1,403.70",-328.25,75,"1,442.05","1,484.35",75,"22,550.00","1,725",12.65,13.30,675,5.95,12.30,31.75,"1,10,113","1,609","2,585",
,261,-32,64,-,"1,390.60",-274.10,375,"1,411.90","1,433.85",75,"22,600.00",75,13.50,13.90,600,6.70,13.65,30.84,"2,34,082","11,459","18,791",
,12,-2,2,-,"1,390.00",-315.00,75,"1,342.35","1,388.25",75,"22,650.00","1,350",14.30,15.20,75,7.00,14.30,30.06,"1,10,905","1,128","2,019",
,"1,013",-22,62,-,"1,323.30",-239.95,150,"1,305.65","1,337.85",150,"22,700.00",450,14.80,15.55,75,7.15,15.10,29.64,"2,35,197","7,516","20,509",
,120,-13,36,28.72,"1,335.55",-164.45,75,"1,253.90","1,289.25",150,"22,750.00",75,16.10,17.00,75,7.20,15.75,28.98,"1,17,085","1,598","3,273",
,643,-54,162,-,"1,221.65",-244.35,450,"1,207.50","1,237.50",75,"22,800.00","1,650",17.05,18.00,"1,050",8.10,17.05,28.53,"3,76,772","6,568","19,775",
