CALLS,,PUTS
,"OI
","CHNG IN OI
","VOLUME
","IV
","LTP
","CHNG
","BID QTY
","BID
","ASK
","ASK QTY
","STRIKE
","BID QTY
","BID
","ASK
","ASK QTY
","CHNG
","LTP
","IV
","VOLUME
","CHNG IN OI
","OI
",
,453,11,27,-,"1,954.35",-257.75,225,"1,961.80","1,995.70",75,"22,200.00",300,82.65,85.20,525,25.20,85.20,23.50,"7,426",499,"4,568",
,28,1,1,15.48,"2,009.90",658.30,75,"1,876.95","2,060.70","1,725","22,250.00",900,79.80,94.90,900,25.05,87.55,23.24,496,68,140,
,580,-3,17,14.55,"1,957.40",-145.90,225,"1,870.00","1,906.95",750,"22,300.00",75,88.80,93.35,150,28.25,93.05,23.21,"5,469",-135,"2,598",
,30,1,1,16.03,"1,918.25",-249.85,75,"1,790.75","1,976.45","1,725","22,350.00",150,65.00,101.20,225,27.65,95.40,22.93,484,-10,97,
,630,-25,37,-,"1,787.25",-214.40,75,"1,784.10","1,845.30",75,"22,400.00",75,100.50,105.65,"1,500",31.00,101.20,22.88,"8,766","2,851","4,814",
,54,1,1,19.02,"1,853.70",-4.90,75,"1,709.90","1,834.35","1,725","22,450.00",600,94.90,109.75,900,31.65,105.85,22.74,519,-28,155,
,"9,628",-152,"1,988",-,"1,680.00",-250.90,225,"1,704.20","1,714.70",75,"22,500.00",75,105.00,109.65,75,27.75,106.20,22.31,"48,836","5,478","34,921",
,83,-,1,11.51,"1,703.90",-119.10,75,"1,616.85","1,715.10",75,"22,550.00",975,105.30,118.60,"1,500",31.50,112.75,22.27,426,38,268,
,"1,246",-5,24,16.12,"1,686.85",-150.15,225,"1,605.25","1,632.55",450,"22,600.00","1,050",114.10,118.00,75,28.85,113.40,21.84,"6,134",131,"1,975",
,144,-,3,-,"1,583.60",-204.40,75,"1,532.80","1,670.60","1,725","22,650.00",975,81.65,128.15,975,34.85,122.35,21.92,460,-9,151,
,"3,590",-17,96,-,"1,529.05",-222.60,225,"1,529.10","1,540.95",75,"22,700.00",450,115.25,130.15,75,33.80,125.25,21.61,"7,976",391,"4,705",
,116,-1,2,17.52,"1,569.40",-150.60,75,"1,442.00","1,569.45","1,725","22,750.00",75,131.00,140.80,225,37.75,133.10,21.58,508,-38,230,
,"1,687",235,910,-,"1,427.35",-223.15,300,"1,420.95","1,456.50",150,"22,800.00","1,050",138.00,143.00,75,37.25,137.55,21.35,"11,129",582,"5,364",
,71,-,3,17.13,"1,477.10",-22.90,75,"1,363.70","1,489.05","1,725","22,850.00","1,725",96.25,-,-,40.55,145.85,21.31,537,-56,225,
,"2,386",-99,201,-,"1,351.00",-235.00,75,"1,338.00","1,367.85",225,"22,900.00",525,150.35,154.95,975,43.70,154.00,21.24,"6,815",-3,"2,710",
,92,1,4,-,"1,198.95",-383.15,225,"1,298.20","1,397.20",150,"22,950.00",75,153.00,170.95,900,43.50,158.95,20.99,"1,024",-29,246,
,"15,840",815,"5,057",7.60,"1,254.55",-224.10,75,"1,260.90","1,265.65",75,"23,000.00",375,167.00,169.95,975,48.35,169.95,21.03,"70,447","2,684","45,145",
,65,6,9,13.35,"1,250.30",-229.70,75,"1,203.25","1,343.05",150,"23,050.00",900,117.95,204.95,900,40.55,172.90,20.65,638,-28,216,
,"1,126",-13,107,12.47,"1,194.80",-197.65,300,"1,169.10","1,200.65",150,"23,100.00",75,182.05,185.50,975,52.90,185.05,20.70,"7,216",985,"2,496",
,44,-130,138,10.52,"1,128.00",-266.05,225,"1,131.20","1,226.45",150,"23,150.00",450,183.85,196.75,450,54.40,192.55,20.52,449,-30,173,
,"1,949",16,228,11.88,"1,098.70",-209.95,225,"1,093.70","1,103.00",150,"23,200.00",825,196.00,201.35,975,51.70,196.00,20.13,"11,844",779,"7,255",
,105,1,11,15.58,"1,117.70",-152.30,225,"1,051.20","1,135.45","1,725","23,250.00",450,197.75,250.00,300,61.10,213.85,20.38,"1,356",42,305,
,"1,847",44,370,12.21,"1,017.00",-200.45,225,"1,019.60","1,035.30",300,"23,300.00",75,215.15,221.40,975,61.15,221.05,20.13,"9,279",-442,"4,757",
,125,56,95,12.79,984.85,-183.60,150,778.95,"1,010.80",225,"23,350.00",75,200.00,242.00,75,63.15,231.00,19.98,"1,020",-2,380,
,"2,804",57,447,12.09,931.30,-207.25,225,940.50,965.40,150,"23,400.00",975,236.10,241.90,975,66.75,241.85,19.86,"8,434",477,"5,202",
,205,-1,92,13.99,928.25,-155.45,75,883.70,950.90,75,"23,450.00","1,500",241.90,254.75,150,66.65,252.80,19.72,"1,103",217,589,
,"17,328",374,"9,109",12.57,859.85,-200.50,600,864.95,871.95,75,"23,500.00",75,263.00,267.00,75,68.90,263.00,19.53,"56,944","1,837","38,811",
,163,21,82,12.69,823.65,-172.75,300,819.45,890.30,225,"23,550.00",150,263.05,278.25,150,74.75,278.10,19.51,"1,368",334,714,
,"2,666",-1,"1,177",12.77,787.45,-201.55,300,794.85,810.40,225,"23,600.00",975,285.25,290.80,150,78.30,292.75,19.23,"13,635",646,"8,289",
,195,80,215,12.76,750.25,-202.35,300,751.90,784.75,225,"23,650.00",150,296.00,304.55,150,78.80,302.50,19.19,"1,588",278,902,
,"4,453",267,"3,552",12.69,712.45,-187.55,300,718.35,727.35,375,"23,700.00",150,312.15,317.95,150,84.00,318.10,18.97,"11,942",460,"6,842",
,300,177,539,13.03,685.55,-164.05,300,685.55,702.35,150,"23,750.00",150,324.50,335.10,150,85.35,331.40,18.96,"1,895",467,853,
,"4,896",-196,"7,138",13.44,660.90,-176.45,600,653.20,660.90,225,"23,800.00",750,348.00,350.60,150,88.10,348.00,18.89,"21,110","2,898","12,053",
,395,123,"1,227",13.11,620.30,-165.85,300,623.80,640.05,75,"23,850.00",150,357.35,367.65,900,97.35,368.80,18.95,"2,402",184,671,
,"3,536",493,"7,910",13.05,586.50,-171.90,75,588.75,594.60,375,"23,900.00",75,381.00,384.75,150,96.50,383.00,18.75,"14,017",611,"6,981",
,615,422,"2,100",13.18,558.85,-167.30,75,555.85,572.00,225,"23,950.00",150,389.70,403.35,150,101.55,402.25,18.70,"3,095",329,658,
,"43,351","6,582","62,607",13.36,533.80,-155.35,"1,050",528.25,533.95,450,"24,000.00",975,416.05,422.25,75,103.90,420.00,18.58,"1,06,397","6,069","56,291",
,814,614,"2,773",13.55,510.00,-127.00,300,495.75,514.50,450,"24,050.00",150,428.00,442.25,150,110.20,441.70,18.58,"3,592",749,"1,208",
,"7,799","3,804","23,923",12.99,465.75,-158.40,675,468.25,474.60,450,"24,100.00",75,457.20,463.10,975,111.45,458.50,18.38,"29,887","3,250","9,281",
,926,527,"3,073",13.11,442.20,-143.20,675,439.80,468.80,75,"24,150.00",75,470.00,484.50,75,119.30,483.65,18.33,"3,881",575,"1,307",
,"11,557","4,817","30,931",13.19,418.35,-139.75,75,418.80,419.00,75,"24,200.00",75,504.00,507.90,75,119.45,504.00,18.21,"32,135","2,080","12,047",
,997,235,"3,853",12.95,385.95,-139.80,300,386.70,405.75,150,"24,250.00",75,513.15,530.75,75,128.55,531.55,18.41,"3,885",233,"1,253",
,"10,849","1,576","28,702",13.09,366.00,-134.55,525,361.20,366.25,75,"24,300.00",375,546.90,553.35,75,125.00,546.90,18.06,"34,045",678,"9,528",
,730,39,"2,673",12.92,337.75,-125.35,225,337.75,354.00,150,"24,350.00",225,563.75,580.65,75,135.55,576.90,18.19,"3,646",370,"1,048",
,"6,684","1,012","20,023",12.97,317.35,-123.40,450,313.35,319.00,75,"24,400.00",450,587.15,605.15,75,142.05,605.00,18.24,"15,460",293,"5,344",
,578,111,"1,910",12.84,292.35,-119.65,150,290.15,300.95,150,"24,450.00",225,615.35,687.00,225,148.15,632.15,18.22,"1,241",225,459,
,"45,273","2,065","74,359",12.58,265.00,-118.85,225,271.00,274.00,75,"24,500.00",75,652.05,663.15,375,148.70,655.95,18.06,"39,423","-1,069","18,563",
,346,10,"1,656",12.77,251.20,-108.05,150,249.45,280.25,150,"24,550.00",225,673.85,738.50,150,155.75,687.80,18.15,468,77,192,
,"4,268","1,021","13,401",12.65,229.85,-107.60,75,231.15,236.45,975,"24,600.00",300,703.10,732.95,600,164.35,725.05,18.41,"3,452",48,"1,139",
,735,128,"2,491",12.72,214.80,-99.50,150,213.30,221.55,150,"24,650.00",225,692.90,758.60,300,167.25,751.35,18.27,155,3,79,
,"4,806",474,"14,620",12.72,198.50,-92.75,300,198.10,201.35,975,"24,700.00",150,773.30,793.30,75,173.55,785.80,18.39,"1,501",-70,533,
,676,154,"1,886",12.68,182.25,-87.30,150,179.90,188.10,75,"24,750.00",375,777.55,825.85,225,102.20,743.95,15.71,92,38,107,
,"7,173","1,455","19,670",12.55,164.90,-87.30,975,165.35,169.85,900,"24,800.00",525,834.25,867.00,300,182.70,853.25,18.50,"1,484",209,870,
,789,275,"2,180",12.63,153.50,-81.95,"1,500",146.20,160.75,150,"24,850.00",225,783.90,897.90,225,81.70,789.90,14.86,18,13,65,
,"2,490",-209,"10,740",12.68,142.00,-70.85,975,138.55,143.05,975,"24,900.00",150,906.60,929.90,225,185.35,927.70,18.79,180,14,271,
,617,121,"1,434",12.64,129.25,-71.10,"1,500",123.35,139.50,900,"24,950.00",150,852.70,"1,039.90",225,192.55,948.85,18.29,24,16,39,
,"28,214","-1,108","83,749",12.72,120.10,-61.25,450,118.20,120.75,975,"25,000.00",75,996.00,"1,004.25",75,201.35,"1,001.00",18.96,"8,355",-165,"14,611",
,300,62,"1,492",12.63,107.90,-62.00,"1,500",95.30,155.00,75,"25,050.00","1,725",830.40,"1,283.20","1,725",120.95,943.00,15.16,1,-1,18,
,"3,020",976,"13,935",12.80,98.00,-57.10,975,95.70,99.65,975,"25,100.00",150,"1,056.45","1,100.65",225,203.20,"1,079.25",19.24,233,-27,162,
,526,226,"1,397",12.66,90.20,-52.90,225,87.70,94.20,"1,500","25,150.00",600,926.40,"1,385.15",225,80.85,"1,052.30",16.60,1,1,5,
,"6,948","3,109","27,719",12.55,80.00,-49.30,975,75.30,80.00,975,"25,200.00",675,"1,138.95","1,166.75",75,221.00,"1,162.80",19.66,295,170,733,
,418,163,986,12.63,74.00,-45.60,225,72.10,79.25,900,"25,250.00","1,725","1,010.40","1,446.20","1,725",172.50,"1,135.45",16.87,2,-1,2,
,"3,577",861,"14,422",12.63,67.00,-41.75,300,66.35,68.00,150,"25,300.00",675,"1,214.45","1,262.15",450,144.55,"1,180.00",17.11,35,-2,131,
,520,211,749,12.70,61.65,-37.80,150,58.90,69.90,"1,500","25,350.00","1,725","1,092.90","1,470.00","1,725",86.95,"1,222.25",17.23,1,1,4,
,"7,307",540,"19,060",12.57,53.75,-36.35,75,53.75,57.85,375,"25,400.00",675,"1,298.55","1,352.10",150,245.75,"1,335.10",20.56,42,-6,767,
,391,287,507,12.76,51.05,-32.65,225,49.55,59.75,900,"25,450.00","1,725","1,187.50","1,627.90","1,725","-1,229.20","1,308.85",17.52,1,1,1,
,"20,072","2,342","51,610",12.76,46.00,-29.25,300,45.75,46.00,375,"25,500.00",150,"1,409.35","1,424.80",150,236.55,"1,425.80",21.15,897,-8,"10,245",
,286,148,578,12.83,42.30,-26.15,225,41.55,47.30,"1,500","25,550.00","1,725","1,272.00","1,728.40","1,725",200.80,"1,353.30",15.39,1,-,12,
,"4,007",591,"12,632",13.00,40.00,-22.25,225,38.15,40.00,450,"25,600.00",900,"1,340.90","1,711.35",675,166.00,"1,440.80",17.95,7,-,"1,065",
,302,235,600,13.01,36.10,-21.90,225,34.50,41.55,75,"25,650.00","1,725","1,374.10","1,877.25","1,050","-1,205.95","1,512.60",19.54,1,1,1,
,"3,629","1,342","14,643",13.44,34.00,-17.65,150,33.00,35.10,75,"25,700.00",450,"1,430.75","1,627.70",150,269.60,"1,619.25",22.77,4,-,282,
,175,109,496,13.14,30.35,-17.10,225,29.25,38.20,900,"25,750.00",675,"1,461.95","1,836.90","1,725","-1,244.55","1,565.25",17.80,1,1,1,
,"4,793","1,193","16,983",13.24,28.10,-15.50,75,28.00,28.10,225,"25,800.00",675,"1,656.45","1,767.60",675,179.20,"1,614.20",18.15,3,-1,321,
,159,75,313,13.41,26.75,-13.10,225,25.50,180.10,"1,125","25,850.00",675,"1,520.05","2,032.60","1,725","-1,240.00","1,661.75",18.41,2,2,2,
,"6,889","-1,846","14,342",13.30,23.00,-12.60,75,24.15,25.90,75,"25,900.00",150,"1,772.95","1,870.05",600,199.50,"1,736.00",20.28,40,-6,"2,706",
,-,-,-,-,-,-,900,16.10,49.00,900,"25,950.00","1,725","1,577.85","2,134.90","1,725","-1,238.40","1,755.85",18.86,2,2,2,
,"13,434","8,029","34,141",13.59,20.50,-10.70,"1,425",20.50,22.80,75,"26,000.00",150,"1,885.00","1,890.00",75,255.50,"1,890.00",24.08,605,360,"1,664",
,259,72,383,14.21,23.00,-7.00,375,19.55,23.95,375,"26,050.00","1,725","1,748.75","2,131.85","1,725","-1,144.05","1,943.20",24.68,8,8,8,
,"1,743","1,659","7,349",14.02,19.30,-7.40,150,19.00,20.00,"7,500","26,100.00",225,"1,949.65","2,191.30",225,"-1,323.95","1,810.00",-,1,1,1,
